epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,47.0607,1.04546,4.61344,0.5958,0.86976,0.92099,0.53756,0.64697,0.43902,0.96307,0.49585,0.52429,0.3011,0.84404,5.3864,0.54237,0.80967,0.00105861,0.00105861,0.00105861
30,48.7011,1.13909,4.58483,0.62791,0.85658,0.99149,0.511,0.6439,0.42958,0.97993,0.49862,0.52523,0.26354,0.94541,5.36336,0.53823,0.83044,0.00108924,0.00108924,0.00108924
31,50.2743,1.14086,4.40067,0.61622,0.87289,0.97447,0.50696,0.63284,0.45902,0.91003,0.46726,0.4884,0.19464,0.8616,5.14879,0.54283,0.81817,0.00111945,0.00111945,0.00111945
32,51.8124,1.06324,4.46505,0.61422,0.87481,0.97244,0.50696,0.62549,0.43992,0.77664,0.4038,0.38138,0.13254,0.82198,5.11977,0.53475,0.81077,0.00114923,0.00114923,0.00114923
33,53.3886,1.06123,4.41775,0.59879,0.8675,0.97244,0.50696,0.62549,0.43992,0.77664,0.4038,0.38138,0.13254,0.82198,5.11977,0.53475,0.81077,0.00117859,0.00117859,0.00117859
34,54.9992,1.04747,4.41907,0.59653,0.86206,0.99477,0.50078,0.59088,0.44033,0.68238,0.34248,0.3059,0.10039,0.77391,5.19022,0.52262,0.79763,0.00119557,0.00119557,0.00119557
35,56.6064,1.04508,4.2829,0.60015,0.85859,0.99543,0.50696,0.58023,0.42256,0.25058,0.14402,0.08052,0.01904,0.87552,5.17878,0.54488,0.81022,0.0011885,0.0011885,0.0011885
36,58.2255,1.07911,4.06148,0.60039,0.85515,0.97953,0.5014,0.57663,0.41278,0.0715,0.06975,0.03109,0.00904,0.9491,5.25627,0.61117,0.8129,0.00118143,0.00118143,0.00118143
37,59.8242,1.01761,4.15614,0.58996,0.85569,0.97953,0.5014,0.57663,0.41278,0.0715,0.06975,0.03109,0.00904,0.9491,5.25627,0.61117,0.8129,0.00117435,0.00117435,0.00117435
38,61.4049,1.05035,4.34055,0.60375,0.8526,0.97504,0.5042,0.58134,0.43671,0.09822,0.106,0.03628,0.00918,0.869,5.34579,0.58764,0.79765,0.00116728,0.00116728,0.00116728
39,63.0261,1.01863,4.14598,0.57235,0.84833,0.97368,0.5014,0.59451,0.45266,0.54135,0.28168,0.23685,0.08306,0.78538,5.11348,0.57299,0.78685,0.00116021,0.00116021,0.00116021
40,64.6533,1.01973,4.25045,0.54922,0.84452,0.97055,0.5014,0.59165,0.44839,0.95959,0.49585,0.52887,0.27175,0.80838,5.0271,0.58981,0.79266,0.00115313,0.00115313,0.00115313
41,66.2844,0.98678,4.21431,0.56518,0.85223,0.97055,0.5014,0.59165,0.44839,0.95959,0.49585,0.52887,0.27175,0.80838,5.0271,0.58981,0.79266,0.00114606,0.00114606,0.00114606
42,67.9041,1.03564,4.18268,0.57674,0.84911,0.9749,0.5066,0.61464,0.44806,0.62769,0.32355,0.27692,0.1053,0.86873,5.12959,0.52841,0.80271,0.00113898,0.00113898,0.00113898
43,69.6008,1.05496,4.09596,0.57709,0.85003,0.96017,0.49633,0.57904,0.43964,0.3268,0.16207,0.13717,0.05068,0.85882,5.31672,0.65975,0.80169,0.00113191,0.00113191,0.00113191
44,71.2084,1.04327,4.02774,0.58508,0.84506,0.8318,0.46581,0.58677,0.46103,0.7694,0.43007,0.48685,0.18393,0.7946,5.02292,0.75457,0.79719,0.00112484,0.00112484,0.00112484
45,72.8187,1.03717,3.94567,0.58051,0.86593,0.8318,0.46581,0.58677,0.46103,0.7694,0.43007,0.48685,0.18393,0.7946,5.02292,0.75457,0.79719,0.00111776,0.00111776,0.00111776
46,74.4542,0.98308,3.96281,0.53896,0.84168,0.73084,0.50191,0.58692,0.46958,0.73047,0.49616,0.55018,0.29425,0.7342,5.01355,0.8042,0.79594,0.00111069,0.00111069,0.00111069
47,76.0938,1.00477,3.94031,0.53732,0.84548,0.72324,0.49046,0.53994,0.42755,0.72324,0.49046,0.51443,0.30201,0.75461,5.00924,0.8681,0.80072,0.00110362,0.00110362,0.00110362
48,77.7558,1.02449,4.30368,0.54839,0.83272,0.8436,0.49342,0.59564,0.45158,0.84735,0.4835,0.52835,0.30548,0.76273,4.92959,0.62302,0.80207,0.00109654,0.00109654,0.00109654
49,79.3581,1.02552,4.04977,0.55421,0.84728,0.8436,0.49342,0.59564,0.45158,0.84735,0.4835,0.52835,0.30548,0.76273,4.92959,0.62302,0.80207,0.00108947,0.00108947,0.00108947
50,80.9908,1.0591,3.99753,0.54751,0.83928,0.98178,0.5145,0.60062,0.44821,0.96819,0.50502,0.53807,0.31515,0.83906,5.23722,0.53713,0.80622,0.0010824,0.0010824,0.0010824
51,82.5513,1.00117,3.87425,0.54245,0.85166,0.96012,0.5042,0.59001,0.46526,0.92532,0.48471,0.51187,0.27496,0.75386,5.01926,0.55449,0.79194,0.00107532,0.00107532,0.00107532
52,84.1193,0.94071,3.90153,0.51873,0.84105,0.88191,0.49844,0.56655,0.43135,0.54046,0.28406,0.25831,0.11275,0.78059,5.04317,0.89985,0.79598,0.00106825,0.00106825,0.00106825
53,85.7048,0.99514,3.96159,0.54007,0.85574,0.88191,0.49844,0.56655,0.43135,0.54046,0.28406,0.25831,0.11275,0.78059,5.04317,0.89985,0.79598,0.00106118,0.00106118,0.00106118
54,87.2724,1.00966,4.02175,0.5451,0.85525,0.90043,0.47745,0.56088,0.43857,0.27492,0.16734,0.09837,0.0291,0.78063,5.15376,0.9665,0.79589,0.0010541,0.0010541,0.0010541
55,88.8629,1.01975,4.0552,0.53388,0.86326,0.98007,0.50211,0.6047,0.45765,0.4044,0.20917,0.16287,0.06795,0.80386,5.14679,0.46199,0.80213,0.00104703,0.00104703,0.00104703
56,90.4323,1.0186,4.05304,0.53728,0.84928,0.97287,0.51162,0.61271,0.44914,0.38322,0.20369,0.17597,0.05653,0.85992,5.12411,0.48087,0.81361,0.00103995,0.00103995,0.00103995
57,92.0108,0.96522,3.98392,0.52032,0.84706,0.97287,0.51162,0.61271,0.44914,0.38322,0.20369,0.17597,0.05653,0.85992,5.12411,0.48087,0.81361,0.00103288,0.00103288,0.00103288
58,93.6354,0.99773,4.08222,0.53724,0.83351,0.96728,0.5098,0.60373,0.45282,0.53697,0.27078,0.23862,0.07849,0.79849,5.108,0.46688,0.79487,0.00102581,0.00102581,0.00102581
