epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5462,2.42104,5.54431,4.04531,1.35496,0.01208,0.15546,0.00793,0.00376,0.01257,0.1672,0.00851,0.00373,1.72218,5.92145,3.79604,1.08737,2.858e-05,2.858e-05,2.858e-05
2,4.35576,2.34781,6.18755,4.08882,1.32248,0.01272,0.15948,0.00805,0.00379,0.01288,0.16945,0.00839,0.00364,1.73329,5.90349,3.81133,1.08651,7.10963e-05,7.10963e-05,7.10963e-05
3,6.25299,2.12485,4.63303,3.70423,1.23226,0.40869,0.30814,0.34558,0.16245,0.34141,0.27611,0.27512,0.07829,1.53904,3.51833,2.45163,1.00348,0.000113188,0.000113188,0.000113188
4,8.4246,1.66411,3.7709,2.01168,0.99019,0.66186,0.74058,0.74466,0.37064,0.6184,0.68728,0.65667,0.21247,1.45979,3.03364,2.3059,0.94208,0.000154856,0.000154856,0.000154856
5,10.6606,1.34165,3.28011,1.19677,0.92358,0.66256,0.79177,0.82063,0.46968,0.62867,0.7464,0.76057,0.28486,1.23159,3.08866,1.81308,0.90182,0.000196099,0.000196099,0.000196099
6,12.8046,1.30522,3.12081,0.94127,0.92045,0.89391,0.80546,0.8471,0.48963,0.86288,0.77046,0.77554,0.29271,1.24673,2.99255,1.48887,0.90675,0.000236917,0.000236917,0.000236917
7,14.7435,1.27491,3.16446,0.94382,0.88954,0.94581,0.81217,0.84819,0.4896,0.91613,0.78199,0.786,0.29402,1.28901,2.98648,0.92019,0.9107,0.000277312,0.000277312,0.000277312
8,16.6719,1.25015,3.21421,0.83321,0.90023,0.93283,0.81348,0.85515,0.52074,0.92323,0.79709,0.81632,0.3525,1.19228,2.865,0.89581,0.89316,0.000317282,0.000317282,0.000317282
9,18.5524,1.23631,3.09387,0.79671,0.91472,0.93627,0.82168,0.85147,0.53995,0.92721,0.814,0.82547,0.36728,1.11801,2.96201,0.84581,0.87717,0.000356827,0.000356827,0.000356827
10,20.4527,1.26148,3.24597,0.77661,0.90094,0.93735,0.81309,0.84997,0.53043,0.90037,0.79362,0.80517,0.32965,1.1355,3.03092,0.69711,0.88037,0.000395948,0.000395948,0.000395948
11,22.3045,1.28277,3.21512,0.76134,0.8903,0.9121,0.79791,0.84719,0.49005,0.78886,0.71746,0.70979,0.26361,1.28462,3.30565,0.97131,0.91292,0.000434645,0.000434645,0.000434645
12,24.144,1.25035,3.03386,0.73596,0.88329,0.91891,0.79069,0.84516,0.52164,0.88471,0.76532,0.78891,0.3118,1.15632,3.13945,0.85323,0.88743,0.000472917,0.000472917,0.000472917
13,26.0009,1.15771,3.09191,0.72368,0.88672,0.93089,0.79674,0.8428,0.52764,0.91683,0.78717,0.81698,0.40032,1.16553,3.15471,0.7072,0.8927,0.000510765,0.000510765,0.000510765
14,27.9294,1.26374,3.13768,0.7472,0.90347,0.85301,0.78354,0.84483,0.53903,0.8287,0.76072,0.80991,0.38393,1.12464,3.26133,0.76113,0.88704,0.000548188,0.000548188,0.000548188
15,29.7579,1.19832,2.95298,0.69827,0.90113,0.91902,0.79039,0.84308,0.51925,0.9255,0.77844,0.81992,0.37328,1.1938,3.52327,0.8075,0.89687,0.000585187,0.000585187,0.000585187
16,31.6151,1.17879,3.06506,0.68674,0.87787,0.88158,0.77969,0.81206,0.4825,0.84013,0.74553,0.74001,0.3052,1.14952,3.43461,0.76908,0.88129,0.000621761,0.000621761,0.000621761
17,33.4957,1.15618,2.94423,0.66217,0.87841,0.85735,0.79939,0.78684,0.49187,0.84049,0.78558,0.75858,0.31613,1.13077,3.27826,0.83596,0.87574,0.000657912,0.000657912,0.000657912
18,35.3482,1.15482,2.91434,0.65916,0.87584,0.90234,0.79173,0.82398,0.51608,0.8807,0.76979,0.78441,0.30026,1.17167,3.60393,0.77192,0.88867,0.000693637,0.000693637,0.000693637
19,37.1786,1.26022,3.07914,0.69199,0.90876,0.86845,0.81322,0.83933,0.53568,0.8079,0.75852,0.75142,0.2783,1.143,3.67366,0.76373,0.88373,0.000728939,0.000728939,0.000728939
20,39.0527,1.13879,3.17598,0.65197,0.86302,0.84101,0.79174,0.84382,0.50342,0.75968,0.71279,0.72075,0.22661,1.21198,3.47362,0.92,0.90177,0.000763816,0.000763816,0.000763816
21,40.9618,1.18493,2.84444,0.64659,0.87729,0.88233,0.78746,0.84363,0.55626,0.83814,0.75033,0.78621,0.30992,1.06853,3.17102,0.91499,0.873,0.000798268,0.000798268,0.000798268
22,42.8244,1.13493,2.87479,0.63853,0.8658,0.93261,0.80234,0.83973,0.55277,0.94529,0.77824,0.81749,0.40136,1.08441,3.16311,0.77799,0.87741,0.000832296,0.000832296,0.000832296
23,44.7341,1.29361,3.24989,0.66287,0.88394,0.91473,0.79516,0.84555,0.54631,0.89866,0.77033,0.80926,0.37668,1.1191,3.29363,0.76665,0.89249,0.0008659,0.0008659,0.0008659
24,46.5695,1.21278,2.88174,0.6435,0.88341,0.85589,0.79498,0.84808,0.53228,0.74796,0.7001,0.69592,0.24697,1.19632,3.59452,0.87843,0.9068,0.000899079,0.000899079,0.000899079
25,48.3778,1.21147,2.94191,0.68125,0.91239,0.91423,0.8077,0.85121,0.53262,0.76633,0.7031,0.68126,0.23266,1.17674,3.5915,0.78769,0.89645,0.000931834,0.000931834,0.000931834
26,50.2476,1.24162,3.08826,0.62064,0.89531,0.97486,0.81124,0.85153,0.55436,0.93332,0.78796,0.79342,0.34157,1.07237,3.04498,0.67393,0.86433,0.000964164,0.000964164,0.000964164
27,52.0754,1.23267,2.85009,0.65179,0.90061,0.97405,0.82091,0.85681,0.55101,0.97244,0.81675,0.82798,0.42295,1.08882,3.17749,0.65537,0.87567,0.00099607,0.00099607,0.00099607
28,53.9292,1.15652,3.29958,0.62921,0.88273,0.95524,0.82326,0.85977,0.542,0.93909,0.8115,0.82117,0.3999,1.14225,3.14948,0.66185,0.89418,0.00102755,0.00102755,0.00102755
29,55.7782,1.18583,3.14715,0.62833,0.90045,0.95524,0.82326,0.85977,0.542,0.93909,0.8115,0.82117,0.3999,1.14225,3.14948,0.66185,0.89418,0.00105861,0.00105861,0.00105861
30,57.6297,1.20009,3.05513,0.6092,0.86833,0.9829,0.82289,0.86203,0.56651,0.94905,0.80021,0.80653,0.35095,1.11423,3.02749,0.61243,0.87635,0.00108924,0.00108924,0.00108924
31,59.4721,1.13609,2.98866,0.57862,0.86313,0.98811,0.82071,0.85903,0.5618,0.96687,0.80572,0.8125,0.33116,1.11177,2.90091,0.61999,0.87437,0.00111945,0.00111945,0.00111945
32,61.2815,1.26857,2.86117,0.67283,0.91717,0.97873,0.82232,0.86587,0.57895,0.96582,0.80752,0.82469,0.37126,1.04165,3.04104,0.59972,0.85777,0.00114923,0.00114923,0.00114923
