epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.72222,2.08644,12.0541,3.82934,1.28516,0.0117,0.07281,0.00682,0.00357,0.0103,0.0644,0.00585,0.00266,1.46407,13.0558,3.85512,1.05154,2.858e-05,2.858e-05,2.858e-05
2,4.5047,2.01783,12.0947,3.76321,1.25666,0.0117,0.07163,0.00688,0.00374,0.01071,0.06562,0.00615,0.00289,1.47432,13.1158,3.83113,1.05195,7.07426e-05,7.07426e-05,7.07426e-05
3,6.31657,2.1305,12.3566,3.76785,1.27145,0.01968,0.13229,0.01251,0.00665,0.01482,0.1015,0.00891,0.00442,1.61338,6.36147,3.27322,1.21533,0.000112056,0.000112056,0.000112056
4,8.50769,1.82453,5.25834,3.00536,1.15603,0.59258,0.27488,0.23925,0.13055,0.54485,0.20668,0.15877,0.06458,1.43065,4.66896,2.33046,0.97425,0.000152521,0.000152521,0.000152521
5,10.9146,1.30537,4.90086,1.53518,0.93658,0.75381,0.33271,0.46448,0.31259,0.74698,0.32393,0.41121,0.20961,1.11546,5.25061,3.22606,0.90068,0.000192138,0.000192138,0.000192138
6,13.7719,1.16591,5.00078,1.1006,0.91524,0.48925,0.44619,0.4759,0.29535,0.48684,0.42025,0.43335,0.18251,1.21946,4.95832,2.73354,0.91904,0.000230905,0.000230905,0.000230905
7,15.9877,1.20461,4.76128,0.99941,0.89967,0.57442,0.43058,0.48421,0.31577,0.58069,0.41304,0.45094,0.19152,1.16261,4.87841,1.84962,0.90388,0.000268823,0.000268823,0.000268823
8,18.2527,1.21867,4.60872,0.84988,0.90522,0.61527,0.41499,0.49689,0.33558,0.66734,0.38949,0.4607,0.21124,1.09091,4.96663,1.51211,0.88567,0.000305893,0.000305893,0.000305893
9,20.2547,1.14841,4.72993,0.80609,0.89051,0.78083,0.43554,0.54115,0.37482,0.79217,0.42669,0.50256,0.24298,1.07349,5.11446,1.0602,0.87819,0.000342114,0.000342114,0.000342114
10,22.1511,1.21889,4.91686,0.79285,0.89817,0.77918,0.41992,0.52935,0.35191,0.77199,0.41374,0.49157,0.2248,1.15948,5.24696,1.1275,0.90065,0.000377486,0.000377486,0.000377486
11,24.0669,1.31579,4.75482,0.8519,0.91214,0.93597,0.48942,0.57122,0.3915,0.89276,0.46074,0.48058,0.23046,1.07551,4.84587,0.74902,0.87529,0.000412009,0.000412009,0.000412009
12,25.9838,1.12252,4.76758,0.75012,0.87456,0.95927,0.49176,0.5793,0.40243,0.94323,0.47989,0.5097,0.254,1.01937,4.65731,0.76615,0.86106,0.000445684,0.000445684,0.000445684
13,27.8995,1.11614,4.37315,0.71062,0.88572,0.68756,0.46773,0.44541,0.31346,0.68587,0.46573,0.41618,0.20132,1.03378,5.35626,1.92677,0.86713,0.000478509,0.000478509,0.000478509
14,29.7637,1.12112,5.29023,0.73677,0.88242,0.66114,0.45278,0.43097,0.30985,0.64426,0.4424,0.39219,0.20082,0.99827,4.85644,2.11791,0.8656,0.000510486,0.000510486,0.000510486
15,31.5646,1.09403,4.83066,0.70866,0.89318,0.44431,0.47161,0.28691,0.19675,0.13245,0.15317,0.03744,0.01214,1.12074,5.70193,4.12118,0.90105,0.000541614,0.000541614,0.000541614
16,33.393,1.10223,4.61475,0.6694,0.88708,0.57389,0.48195,0.36455,0.25349,0.43375,0.35796,0.20487,0.08201,1.08884,5.14305,3.24736,0.89013,0.000571893,0.000571893,0.000571893
17,35.2415,1.11574,4.62045,0.67002,0.87756,0.63585,0.47604,0.41868,0.29981,0.60703,0.45124,0.35492,0.16757,1.00057,4.75803,2.45191,0.86441,0.000601323,0.000601323,0.000601323
18,37.0693,1.16543,4.2802,0.68607,0.88553,0.51996,0.47121,0.34402,0.24602,0.51132,0.43615,0.27891,0.14627,0.99902,4.91308,2.75791,0.863,0.000629905,0.000629905,0.000629905
19,38.8956,1.11318,4.82032,0.66124,0.88037,0.61262,0.46226,0.39182,0.26853,0.58311,0.42877,0.31244,0.15708,1.04016,4.97342,1.09693,0.87376,0.000657637,0.000657637,0.000657637
