epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,41.4086,0.96946,4.46895,0.57665,0.87145,0.60949,0.43817,0.40084,0.34131,0.50337,0.32197,0.31545,0.18348,0.77433,4.638,2.24356,0.82319,0.00123492,0.00123492,0.00123492
30,42.8489,0.95108,4.54346,0.56802,0.85138,0.86796,0.48565,0.61828,0.46952,0.63246,0.34117,0.36187,0.21157,0.79807,4.9442,1.90396,0.82179,0.00127065,0.00127065,0.00127065
31,44.2796,0.95305,4.50315,0.59736,0.85488,0.86453,0.53373,0.60506,0.4243,0.5301,0.29451,0.23834,0.12004,0.82712,5.08503,0.73692,0.8235,0.00130589,0.00130589,0.00130589
32,45.6174,0.93222,4.66026,0.60249,0.87043,0.91123,0.50568,0.60303,0.43455,0.48694,0.24479,0.21279,0.09619,0.78596,5.39811,0.62354,0.81698,0.00134064,0.00134064,0.00134064
33,47.0023,0.97287,4.70264,0.61758,0.86157,0.91123,0.50568,0.60303,0.43455,0.48694,0.24479,0.21279,0.09619,0.78596,5.39811,0.62354,0.81698,0.00137489,0.00137489,0.00137489
34,48.3755,0.8855,4.65893,0.56559,0.85418,0.8713,0.52178,0.59747,0.41541,0.81804,0.41069,0.43193,0.20278,0.78046,5.36092,0.60605,0.81579,0.0013947,0.0013947,0.0013947
35,49.7888,0.95204,4.73188,0.59561,0.86449,0.94012,0.50568,0.58332,0.43828,0.86861,0.43849,0.46272,0.24284,0.77184,5.61339,0.66266,0.81469,0.00138644,0.00138644,0.00138644
36,51.2445,0.9097,4.70255,0.59127,0.85002,0.96116,0.51696,0.56905,0.42106,0.88366,0.44413,0.44444,0.19455,0.86813,5.43552,0.80124,0.83455,0.00137819,0.00137819,0.00137819
37,52.6405,0.94232,4.454,0.60211,0.86657,0.96116,0.51696,0.56905,0.42106,0.88366,0.44413,0.44444,0.19455,0.86813,5.43552,0.80124,0.83455,0.00136994,0.00136994,0.00136994
38,54.033,0.95303,4.56257,0.57443,0.85071,0.88729,0.51904,0.5816,0.42827,0.76433,0.39086,0.37384,0.14113,0.83059,5.43503,0.61504,0.83339,0.00136169,0.00136169,0.00136169
39,55.4457,0.90438,4.46459,0.54232,0.85397,0.90927,0.50568,0.56301,0.42544,0.84249,0.44081,0.42814,0.16782,0.8089,5.32957,0.59958,0.83288,0.00135344,0.00135344,0.00135344
40,56.8196,0.87619,4.47883,0.5441,0.84655,0.9223,0.52087,0.57955,0.44271,0.7969,0.40483,0.37595,0.17942,0.75432,5.0195,0.72605,0.82252,0.00134519,0.00134519,0.00134519
41,58.2298,0.91536,4.5402,0.56538,0.87498,0.9223,0.52087,0.57955,0.44271,0.7969,0.40483,0.37595,0.17942,0.75432,5.0195,0.72605,0.82252,0.00133693,0.00133693,0.00133693
42,59.6147,0.89664,4.45045,0.54719,0.85136,0.91716,0.53835,0.60908,0.45843,0.79455,0.39672,0.38014,0.17099,0.75083,5.04391,0.70463,0.81922,0.00132868,0.00132868,0.00132868
43,61.0425,0.91692,4.43645,0.54716,0.84998,0.96692,0.48834,0.6217,0.44818,0.83199,0.40341,0.39892,0.17923,0.76682,5.19242,0.55228,0.8191,0.00132043,0.00132043,0.00132043
44,62.4576,0.90383,4.38815,0.5818,0.83501,0.98357,0.47727,0.65252,0.45689,0.8548,0.41335,0.44955,0.20044,0.84259,5.11497,0.53544,0.83331,0.00131218,0.00131218,0.00131218
45,63.8223,0.93189,4.36074,0.55926,0.86568,0.98357,0.47727,0.65252,0.45689,0.8548,0.41335,0.44955,0.20044,0.84259,5.11497,0.53544,0.83331,0.00130393,0.00130393,0.00130393
46,65.2392,0.90629,4.31717,0.53955,0.84174,0.89792,0.49195,0.62876,0.44666,0.91918,0.42372,0.48132,0.25469,0.81458,5.04326,0.5997,0.83756,0.00129568,0.00129568,0.00129568
47,66.6898,0.96224,4.50024,0.55455,0.852,0.99345,0.48816,0.65367,0.47052,0.90919,0.44555,0.46395,0.25019,0.78566,4.62558,0.54503,0.82689,0.00128742,0.00128742,0.00128742
48,68.1314,0.99501,4.64485,0.55953,0.84641,0.96735,0.51445,0.64146,0.47016,0.88306,0.47222,0.48666,0.25381,0.7917,4.64112,0.56346,0.82661,0.00127917,0.00127917,0.00127917
49,69.5576,0.91454,4.46509,0.54703,0.84764,0.96735,0.51445,0.64146,0.47016,0.88306,0.47222,0.48666,0.25381,0.7917,4.64112,0.56346,0.82661,0.00127092,0.00127092,0.00127092
50,71.0189,0.94374,4.51336,0.5514,0.84832,0.91085,0.5161,0.62794,0.4621,0.76075,0.41856,0.41064,0.16716,0.75716,4.8021,0.52992,0.81954,0.00126267,0.00126267,0.00126267
