epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,38.4168,0.82136,0.93359,0.58797,0.89357,0.9102,0.8642,0.94497,0.75727,0.9102,0.8642,0.94497,0.69054,0.73571,0.80995,0.69757,0.83561,0.00105861,0.00105861,0.00105861
30,39.7082,0.7767,0.90915,0.50998,0.85174,0.91231,0.93683,0.97765,0.79195,0.91231,0.93683,0.97765,0.69327,0.72082,0.89516,0.55384,0.84005,0.00108924,0.00108924,0.00108924
31,40.9808,0.81077,0.95074,0.50115,0.86831,0.92096,0.9031,0.9925,0.81339,0.92096,0.9031,0.9925,0.73635,0.65761,0.7273,0.55302,0.81732,0.00111945,0.00111945,0.00111945
32,42.2869,0.77152,0.89884,0.52054,0.87604,0.88876,0.94789,0.99464,0.82288,0.88876,0.94789,0.99464,0.71854,0.64777,0.74335,0.58853,0.81372,0.00114923,0.00114923,0.00114923
33,43.545,0.80915,0.95703,0.56773,0.8715,0.88876,0.94789,0.99464,0.82288,0.88876,0.94789,0.99464,0.71854,0.64777,0.74335,0.58853,0.81372,0.00117859,0.00117859,0.00117859
34,44.8041,0.73397,0.80345,0.52089,0.84863,0.96231,0.95654,0.99145,0.80993,0.96231,0.95654,0.99145,0.66306,0.67755,0.83402,0.52358,0.81506,0.00119557,0.00119557,0.00119557
35,46.0994,0.77485,0.85095,0.51548,0.85273,0.98342,0.92021,0.99264,0.81284,0.98342,0.92021,0.99264,0.66565,0.64677,0.80788,0.50184,0.80701,0.0011885,0.0011885,0.0011885
36,47.3613,0.7803,0.85908,0.50185,0.85062,0.92718,0.94599,0.98353,0.8153,0.92718,0.94599,0.98353,0.67271,0.63599,0.91459,0.60351,0.80556,0.00118143,0.00118143,0.00118143
37,48.6497,0.77083,0.84561,0.50509,0.86606,0.92718,0.94599,0.98353,0.8153,0.92718,0.94599,0.98353,0.67271,0.63599,0.91459,0.60351,0.80556,0.00117435,0.00117435,0.00117435
38,49.9229,0.75994,0.81041,0.49577,0.84787,0.9351,0.91513,0.98301,0.80883,0.9351,0.91513,0.98301,0.70229,0.62343,0.79036,0.6103,0.80461,0.00116728,0.00116728,0.00116728
39,51.2042,0.73262,0.87452,0.46357,0.85674,0.97892,0.95832,0.99204,0.80759,0.97892,0.95832,0.99204,0.71968,0.64811,0.77669,0.47707,0.80882,0.00116021,0.00116021,0.00116021
40,52.4917,0.73789,0.81671,0.4562,0.84257,0.99046,0.95316,0.99113,0.80783,0.99046,0.95316,0.99113,0.6747,0.6932,1.04578,0.48276,0.82965,0.00115313,0.00115313,0.00115313
41,53.7575,0.72293,0.90914,0.49088,0.85189,0.99046,0.95316,0.99113,0.80783,0.99046,0.95316,0.99113,0.6747,0.6932,1.04578,0.48276,0.82965,0.00114606,0.00114606,0.00114606
42,55.0554,0.7011,0.8104,0.49076,0.83759,0.94535,0.94135,0.98658,0.81088,0.94535,0.94135,0.98658,0.68881,0.63885,0.88148,0.52802,0.81485,0.00113898,0.00113898,0.00113898
43,56.3451,0.76238,0.83117,0.47707,0.85049,0.92446,0.95356,0.98653,0.80312,0.92446,0.95356,0.98653,0.70428,0.63987,0.88248,0.56065,0.81197,0.00113191,0.00113191,0.00113191
44,57.6684,0.73014,0.82508,0.48892,0.83652,0.95625,0.93613,0.98542,0.81072,0.95625,0.93613,0.98542,0.69685,0.64703,0.80397,0.50705,0.80782,0.00112484,0.00112484,0.00112484
45,58.9427,0.69825,0.7764,0.45115,0.84026,0.95625,0.93613,0.98542,0.81072,0.95625,0.93613,0.98542,0.69685,0.64703,0.80397,0.50705,0.80782,0.00111776,0.00111776,0.00111776
46,60.2668,0.76146,0.99765,0.47757,0.84966,0.98963,0.96989,0.991,0.83035,0.97954,0.95645,0.98446,0.66625,0.61884,1.04328,0.51513,0.79944,0.00111069,0.00111069,0.00111069
47,61.583,0.71558,0.77921,0.48519,0.83652,0.97703,0.99442,0.99464,0.82005,0.97703,0.99442,0.99464,0.66899,0.67864,0.84856,0.50998,0.80049,0.00110362,0.00110362,0.00110362
48,62.9093,0.77897,0.78865,0.48913,0.83899,0.99246,0.98765,0.994,0.81589,0.99246,0.98765,0.994,0.66823,0.64893,0.79873,0.4437,0.79384,0.00109654,0.00109654,0.00109654
49,64.1844,0.71438,0.90334,0.47621,0.84102,0.99246,0.98765,0.994,0.81589,0.99246,0.98765,0.994,0.66823,0.64893,0.79873,0.4437,0.79384,0.00108947,0.00108947,0.00108947
50,65.4933,0.71565,0.88008,0.47637,0.83188,0.97928,0.97206,0.99382,0.83246,0.97928,0.97206,0.99382,0.68248,0.61178,0.76337,0.46886,0.79094,0.0010824,0.0010824,0.0010824
51,66.7784,0.73332,0.84183,0.49727,0.86723,0.9621,0.9724,0.98339,0.78441,0.9621,0.9724,0.98339,0.67503,0.65055,0.98263,0.47884,0.80136,0.00107532,0.00107532,0.00107532
52,68.0688,0.71176,0.84318,0.47466,0.84012,0.96681,0.98386,0.99065,0.82358,0.96681,0.98386,0.99065,0.6907,0.59792,0.82758,0.47305,0.79436,0.00106825,0.00106825,0.00106825
53,69.3272,0.71125,0.78005,0.46865,0.85401,0.96681,0.98386,0.99065,0.82358,0.96681,0.98386,0.99065,0.6907,0.59792,0.82758,0.47305,0.79436,0.00106118,0.00106118,0.00106118
54,70.6072,0.72197,0.79658,0.47488,0.85174,0.94845,0.91905,0.98341,0.81394,0.94845,0.91905,0.98341,0.67774,0.65116,0.83398,0.53838,0.80711,0.0010541,0.0010541,0.0010541
