epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,45.8168,0.79983,1.00248,0.57576,0.84983,0.96388,0.99055,0.99308,0.81159,0.96388,0.99055,0.99308,0.7051,0.71959,1.01382,0.57468,0.83044,0.00105861,0.00105861,0.00105861
30,47.4387,0.83861,0.99484,0.55386,0.8423,0.98113,0.98582,0.99274,0.78106,0.98113,0.98582,0.99274,0.73973,0.83245,0.97037,0.53097,0.84687,0.00108924,0.00108924,0.00108924
31,48.9842,0.81242,0.94457,0.53531,0.84404,0.97781,0.98474,0.98904,0.8313,0.97781,0.98474,0.98904,0.70474,0.69694,0.95232,0.53748,0.8258,0.00111945,0.00111945,0.00111945
32,50.5143,0.7778,0.87093,0.50734,0.84224,0.98172,0.98285,0.98802,0.81608,0.98172,0.98285,0.98802,0.74052,0.7056,0.92403,0.52398,0.82884,0.00114923,0.00114923,0.00114923
33,52.0614,0.8215,0.98611,0.58674,0.84067,0.98172,0.98285,0.98802,0.81608,0.98172,0.98285,0.98802,0.74052,0.7056,0.92403,0.52398,0.82884,0.00117859,0.00117859,0.00117859
34,53.6291,0.74895,0.93411,0.53358,0.84136,0.96399,0.97991,0.98962,0.81117,0.96399,0.97991,0.98962,0.7271,0.72368,1.00728,0.55972,0.82881,0.00119557,0.00119557,0.00119557
35,55.1772,0.81828,0.93471,0.52374,0.85544,0.97219,0.98423,0.99214,0.82143,0.97219,0.98423,0.99214,0.7111,0.74152,1.10866,0.59206,0.83064,0.0011885,0.0011885,0.0011885
36,56.7029,0.81368,0.9522,0.537,0.8324,0.97685,0.98032,0.99205,0.84796,0.97685,0.98032,0.99205,0.73197,0.70403,1.1173,0.5605,0.82432,0.00118143,0.00118143,0.00118143
37,58.265,0.73757,0.88503,0.50325,0.83662,0.97685,0.98032,0.99205,0.84796,0.97685,0.98032,0.99205,0.73197,0.70403,1.1173,0.5605,0.82432,0.00117435,0.00117435,0.00117435
38,59.8761,0.84136,1.00478,0.54864,0.83995,0.98372,0.99194,0.9927,0.83966,0.98372,0.99194,0.9927,0.71243,0.67405,0.83155,0.49604,0.81739,0.00116728,0.00116728,0.00116728
39,61.4554,0.76101,0.87518,0.51475,0.83627,0.98735,0.98116,0.9923,0.82164,0.98735,0.98116,0.9923,0.66952,0.71779,0.87574,0.5659,0.82203,0.00116021,0.00116021,0.00116021
40,63.0125,0.7595,0.88329,0.50945,0.83212,0.97449,0.98582,0.99064,0.82398,0.97449,0.98582,0.99064,0.64842,0.69693,0.86448,0.66939,0.81584,0.00115313,0.00115313,0.00115313
41,64.5247,0.84572,1.0453,0.53739,0.84288,0.97449,0.98582,0.99064,0.82398,0.97449,0.98582,0.99064,0.64842,0.69693,0.86448,0.66939,0.81584,0.00114606,0.00114606,0.00114606
42,66.0313,0.81253,0.91264,0.56047,0.84368,0.96118,0.98582,0.98928,0.82615,0.96118,0.98582,0.98928,0.65122,0.68034,0.8454,0.65296,0.81849,0.00113898,0.00113898,0.00113898
43,67.6213,0.80797,0.95653,0.548,0.84032,0.9704,0.97755,0.98631,0.80291,0.9704,0.97755,0.98631,0.66604,0.71633,1.11328,0.55046,0.82704,0.00113191,0.00113191,0.00113191
44,69.1876,0.83705,1.05445,0.51866,0.83656,0.96446,0.96454,0.98037,0.82889,0.96446,0.96454,0.98037,0.67728,0.63996,0.95296,0.57342,0.81803,0.00112484,0.00112484,0.00112484
45,70.6737,0.77645,0.96367,0.50859,0.85008,0.96446,0.96454,0.98037,0.82889,0.96446,0.96454,0.98037,0.67728,0.63996,0.95296,0.57342,0.81803,0.00111776,0.00111776,0.00111776
46,72.2085,0.71806,0.86131,0.4775,0.82933,0.9235,0.97029,0.97985,0.82949,0.9235,0.97029,0.97985,0.66947,0.6275,0.84408,0.61599,0.81449,0.00111069,0.00111069,0.00111069
47,73.7873,0.76376,0.93894,0.48113,0.83379,0.93328,0.97653,0.98027,0.83561,0.93328,0.97653,0.98027,0.66498,0.60907,0.80649,0.54764,0.812,0.00110362,0.00110362,0.00110362
48,75.3444,0.75343,0.90259,0.4775,0.8273,0.94502,0.93381,0.97195,0.83433,0.94502,0.93381,0.97195,0.68532,0.57635,0.99442,0.57644,0.81482,0.00109654,0.00109654,0.00109654
49,76.8815,0.70699,0.83503,0.45871,0.83245,0.94502,0.93381,0.97195,0.83433,0.94502,0.93381,0.97195,0.68532,0.57635,0.99442,0.57644,0.81482,0.00108947,0.00108947,0.00108947
50,78.4323,0.73289,0.86232,0.4716,0.82609,0.94136,0.93475,0.97,0.8338,0.94136,0.93475,0.97,0.653,0.61728,1.2138,0.55165,0.81659,0.0010824,0.0010824,0.0010824
51,79.9577,0.72286,0.85636,0.46107,0.83138,0.96293,0.96063,0.98558,0.84918,0.96293,0.96063,0.98558,0.66208,0.62131,0.87112,0.47397,0.81465,0.00107532,0.00107532,0.00107532
52,81.454,0.71985,0.85171,0.45564,0.83669,0.96603,0.95902,0.98676,0.84934,0.96603,0.95902,0.98824,0.71321,0.58685,0.83267,0.47279,0.81397,0.00106825,0.00106825,0.00106825
53,83.0291,0.70043,0.86388,0.456,0.83619,0.96603,0.95902,0.98676,0.84934,0.96603,0.95902,0.98824,0.71321,0.58685,0.83267,0.47279,0.81397,0.00106118,0.00106118,0.00106118
54,84.5013,0.73077,0.82442,0.46212,0.84179,0.97192,0.95258,0.99259,0.86339,0.97192,0.95258,0.99259,0.70727,0.57484,0.98795,0.48155,0.81272,0.0010541,0.0010541,0.0010541
55,86.0423,0.69893,0.82671,0.44105,0.82668,0.97096,0.96737,0.98898,0.8344,0.97096,0.96737,0.98898,0.65478,0.65858,0.825,0.49075,0.81683,0.00104703,0.00104703,0.00104703
56,87.572,0.7623,0.88344,0.44327,0.83216,0.97182,1,0.98911,0.85214,0.97182,1,0.98911,0.67869,0.58748,0.77794,0.46019,0.80707,0.00103995,0.00103995,0.00103995
57,89.1252,0.72782,0.92384,0.44414,0.83339,0.97182,1,0.98911,0.85214,0.97182,1,0.98911,0.67869,0.58748,0.77794,0.46019,0.80707,0.00103288,0.00103288,0.00103288
58,90.6962,0.74583,0.85979,0.44079,0.82597,0.95605,0.97872,0.98466,0.84647,0.95605,0.97872,0.98466,0.67313,0.62165,1.12355,0.46969,0.81438,0.00102581,0.00102581,0.00102581
59,92.2532,0.7093,0.81635,0.44031,0.82941,0.9791,0.97872,0.98738,0.81607,0.9791,0.97872,0.98847,0.64612,0.67855,1.12559,0.46396,0.82594,0.00101873,0.00101873,0.00101873
60,93.8036,0.72304,0.81758,0.45619,0.82387,0.9552,0.90762,0.96685,0.77972,0.9552,0.90762,0.96598,0.6431,0.71731,1.44485,0.51781,0.83723,0.00101166,0.00101166,0.00101166
61,95.3477,0.70204,0.82076,0.45558,0.82935,0.9552,0.90762,0.96685,0.77972,0.9552,0.90762,0.96598,0.6431,0.71731,1.44485,0.51781,0.83723,0.00100459,0.00100459,0.00100459
